dataset,phylo_tp,phylo_fp,phylo_fn,phylo_multi_tp,phylo_multi_fp,phylo_multi_fn,phylo_complex_tp,phylo_complex_fp,phylo_complex_fn,tnet_tp,tnet_fp,tnet_fn,tnet_mul_tp,tnet_mul_fp,tnet_mul_fn,tnet_boot_tp,tnet_boot_fp,tnet_boot_fn
SIR003_sl1000_mr025_nv10_1,9,1,5,10,3,4,10,3,4,10,4,4,10,3,4,10,3,4
SIR003_sl1000_mr025_nv10_10,8,2,5,11,1,2,11,1,2,9,4,4,9,3,4,11,1,2
SIR003_sl1000_mr025_nv10_11,14,1,16,19,7,11,19,7,11,19,11,11,17,6,13,18,5,12
SIR003_sl1000_mr025_nv10_12,31,2,18,38,4,11,40,6,9,39,11,10,38,4,11,38,1,11
SIR003_sl1000_mr025_nv10_13,3,1,8,4,2,7,4,2,7,6,5,5,4,2,7,4,2,7
SIR003_sl1000_mr025_nv10_14,7,0,8,10,1,5,10,1,5,13,2,2,12,1,3,12,1,3
SIR003_sl1000_mr025_nv10_15,11,2,13,14,1,10,14,1,10,17,7,7,14,6,10,14,2,10
SIR003_sl1000_mr025_nv10_16,7,1,10,10,3,7,10,3,7,11,6,6,11,3,6,10,1,7
SIR003_sl1000_mr025_nv10_17,17,3,6,17,2,6,18,2,5,18,6,5,18,4,5,18,1,5
SIR003_sl1000_mr025_nv10_18,2,0,3,2,0,3,2,0,3,5,0,0,5,0,0,5,0,0
SIR003_sl1000_mr025_nv10_19,10,1,14,12,4,12,13,4,11,19,5,5,17,5,7,14,4,10
SIR003_sl1000_mr025_nv10_2,14,2,5,15,0,4,16,0,3,17,3,2,14,2,5,15,0,4
SIR003_sl1000_mr025_nv10_20,3,1,6,6,1,3,6,1,3,7,2,2,6,2,3,7,2,2
SIR003_sl1000_mr025_nv10_3,19,0,7,19,0,7,19,0,7,20,6,6,19,1,7,19,0,7
SIR003_sl1000_mr025_nv10_4,15,0,16,21,7,10,21,7,10,23,8,8,20,3,11,20,2,11
SIR003_sl1000_mr025_nv10_5,5,1,2,4,0,3,4,0,3,6,1,1,5,1,2,5,1,2
SIR003_sl1000_mr025_nv10_6,13,1,10,15,6,8,15,6,8,16,7,7,15,4,8,14,3,9
SIR003_sl1000_mr025_nv10_7,6,2,10,9,4,7,9,4,7,9,7,7,8,6,8,9,4,7
SIR003_sl1000_mr025_nv10_8,10,0,5,11,1,4,11,1,4,13,2,2,13,2,2,12,1,3
SIR003_sl1000_mr025_nv10_9,14,1,14,15,6,13,15,6,13,19,9,9,17,5,11,16,3,12
